,instance_ID,total_time,battery_left,CPU_time,path,flexible_decision,WCL_speed_level,battery_consumption,battery_charged,SOC,charging_time,Feasible_path_number,travel_time_list,charging_time_list,SC_time,SC_charging_time,SC_battery_charged,SC_charge_time_list,SC_travel_time_list,19,20,21,22,23,24
0,0.0,3.6783,3.77,4640.709887742996,"['0', '1', '3', '6', '4', '2', '5', '7']","[0, 1, 0, 1, 0, 0, 0]","[0, 40, 0, 20, 0, 0, 0]","[7.41, 5.9, 7.73, 9.94, 13.33, 2.32, 2.85]","[0, 6.75, 0, 22.5, 0, 0, 0]","[24, 16.59, 17.44, 9.71, 22.27, 8.94, 6.62, 3.77]",0.32,42.0,"[0.47, 0.42, 0.6, 0.96, 0.86, 0.18, 0.18]","[0, 0.07, 0, 0.25, 0, 0, 0]",4.109877473586384,0.17,"[0, 9.19, 0, 26.62, 0, 0, 0]","[0, 0.04, 0, 0.13, 0, 0, 0]","[0.47, 0.58, 0.6, 1.23, 0.86, 0.18, 0.18]",0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,5.3669,3.7,4928.883261442184,"['0', '4', '2', '1', '5', '6', '3', '7']","[1, 0, 1, 1, 1, 1, 0]","[40, 0, 40, 40, 40, 30, 0]","[15.54, 20.22, 4.33, 1.65, 14.21, 8.62, 5.77]","[18.0, 0, 4.5, 2.25, 15.75, 12.0, 0]","[24, 24, 3.78, 3.95, 4.55, 6.09, 9.47, 3.7]",0.5800000000000001,68.0,"[1.34, 1.31, 0.36, 0.13, 1.04, 0.76, 0.43]","[0.2, 0, 0.05, 0.03, 0.17, 0.13, 0]",6.7676322564424884,0.32,"[21.97, 0, 6.29, 2.93, 21.63, 15.57, 0]","[0.11, 0, 0.03, 0.01, 0.1, 0.07, 0]","[1.88, 1.31, 0.5, 0.18, 1.44, 1.03, 0.43]",0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,4.5017,4.8,4095.632017850876,"['0', '4', '6', '5', '3', '1', '2', '7']","[1, 1, 0, 1, 0, 1, 0]","[40, 40, 0, 40, 0, 30, 0]","[6.11, 8.99, 6.04, 11.07, 9.78, 8.29, 9.52]","[6.75, 9.0, 0, 13.5, 0, 12.0, 0]","[24, 24, 24, 17.96, 20.39, 10.61, 14.32, 4.8]",0.45,18.0,"[0.52, 0.65, 0.43, 0.77, 0.81, 0.64, 0.67]","[0.07, 0.1, 0, 0.15, 0, 0.13, 0]",5.4793227413080645,0.26,"[8.64, 12.71, 0, 18.08, 0, 15.43, 0]","[0.04, 0.06, 0, 0.09, 0, 0.07, 0]","[0.73, 0.91, 0.43, 1.07, 0.81, 0.86, 0.67]",0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,5.3926,4.11,2056.4293615818024,"['0', '4', '6', '3', '1', '5', '2', '7']","[1, 1, 1, 1, 0, 1, 0]","[40, 40, 0, 40, 0, 30, 0]","[17.06, 18.61, 0.5, 2.53, 12.86, 9.15, 9.1]","[20.25, 22.5, 0, 2.25, 0, 12.0, 0]","[24, 24, 24, 23.5, 23.22, 10.36, 13.21, 4.11]",0.64,18.0,"[1.47, 1.37, 0.04, 0.25, 0.81, 0.81, 0.64]","[0.23, 0.25, 0, 0.03, 0, 0.13, 0]",6.892179344073647,0.35000000000000003,"[24.12, 26.31, 3.3, 0, 15.79, 0]","[0.12, 0.13, 0.02, 0, 0.08, 0]","[2.06, 1.9, 0.36, 0.81, 1.13, 0.64]",0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,3.8597,4.22,14393.838173151016,"['0', '3', '1', '4', '2', '6', '5', '7']","[0, 1, 0, 0, 1, 1, 0]","[0, 40, 0, 0, 30, 20, 0]","[6.18, 3.47, 5.89, 5.65, 1.05, 14.25, 15.54]","[0, 2.25, 0, 0, 3.0, 27.0, 0]","[24, 17.82, 16.6, 10.71, 5.06, 7.01, 19.76, 4.22]",0.36,65.0,"[0.42, 0.34, 0.38, 0.37, 0.1, 1.26, 0.99]","[0, 0.03, 0, 0, 0.03, 0.3, 0]",4.412481036957835,0.2,"[0, 3.69, 0, 0, 3.43, 32.9, 0]","[0, 0.02, 0, 0, 0.02, 0.16, 0]","[0.42, 0.49, 0.38, 0.37, 0.13, 1.63, 0.99]",0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,5.5131,5.88,2884.7666573524475,"['0', '5', '6', '3', '1', '4', '2', '7']","[0, 1, 1, 1, 0, 0, 1]","[0, 40, 20, 20, 0, 0, 40]","[13.73, 22.05, 4.59, 4.61, 9.96, 7.67, 9.51]","[0, 24.75, 9.0, 9.0, 0, 0, 11.25]","[24, 10.27, 12.97, 17.38, 21.77, 11.81, 4.14, 5.88]",0.6,26.0,"[1.07, 1.62, 0.44, 0.5, 0.64, 0.5, 0.75]","[0, 0.28, 0.1, 0.1, 0, 0, 0.12]",6.728527127415656,0.33,"[0, 33.88, 10.9, 10.91, 0, 0, 15.19]","[0, 0.16, 0.05, 0.05, 0, 0, 0.07]","[1.07, 2.25, 0.56, 0.66, 0.64, 0.5, 1.05]",0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,5.843,4.79,6460.43230342865,"['0', '4', '3', '2', '6', '1', '5', '7']","[1, 1, 0, 1, 1, 0, 0]","[40, 40, 0, 30, 20, 0, 0]","[12.81, 16.66, 13.23, 14.59, 1.69, 1.72, 15.57]","[15.75, 15.75, 0, 24.0, 4.5, 0, 0]","[24, 24, 23.09, 9.86, 19.27, 22.08, 20.36, 4.79]",0.6600000000000001,141.0,"[1.11, 1.17, 0.99, 1.28, 0.19, 0.11, 0.99]","[0.17, 0.17, 0, 0.27, 0.05, 0, 0]",7.263462210172554,0.36000000000000004,"[18.11, 22.65, 0, 30.04, 5.2, 0, 0]","[0.09, 0.11, 0, 0.14, 0.02, 0, 0]","[1.55, 1.64, 0.99, 1.74, 0.25, 0.11, 0.99]",0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,5.9805,3.85,1300.8555278778076,"['0', '1', '6', '2', '4', '5', '3', '7']","[0, 1, 0, 1, 1, 1, 0]","[0, 40, 0, 40, 40, 30, 0]","[9.67, 16.9, 10.47, 7.73, 7.47, 15.79, 12.87]","[0, 18.0, 0, 9.0, 6.75, 27.0, 0]","[24, 14.33, 15.43, 4.96, 6.23, 5.51, 16.72, 3.85]",0.67,21.0,"[0.61, 1.15, 0.71, 0.74, 0.62, 1.18, 0.97]","[0, 0.2, 0, 0.1, 0.07, 0.3, 0]",7.3561473650146825,0.39,"[0, 25.0, 0, 12.2, 9.84, 33.54, 0]","[0, 0.12, 0, 0.06, 0.05, 0.16, 0]","[0.61, 1.59, 0.71, 1.05, 0.87, 1.56, 0.97]",0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,4.4958,3.67,2900.3849472999573,"['0', '1', '5', '6', '4', '2', '3', '7']","[0, 1, 1, 1, 0, 1, 0]","[0, 40, 30, 30, 0, 40, 0]","[16.34, 6.52, 16.02, 4.62, 7.31, 4.4, 6.37]","[0, 9.0, 24.0, 6.0, 0, 2.25, 0]","[24, 7.66, 10.14, 18.12, 19.5, 12.19, 10.04, 3.67]",0.47,44.0,"[1.03, 0.53, 1.24, 0.4, 0.47, 0.34, 0.48]","[0, 0.1, 0.27, 0.07, 0, 0.03, 0]",5.418924767727558,0.27,"[0, 11.7, 30.63, 7.91, 0, 4.07, 0]","[0, 0.06, 0.15, 0.04, 0, 0.02, 0]","[1.03, 0.74, 1.66, 0.55, 0.47, 0.49, 0.48]",0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,4.2876,8.15,3309.2071175575256,"['0', '3', '5', '4', '6', '2', '1', '7']","[0, 0, 1, 1, 0, 1, 1]","[0, 0, 30, 30, 0, 40, 40]","[6.82, 11.25, 4.06, 14.18, 10.35, 1.61, 10.33]","[0, 0, 6.0, 21.0, 0, 2.25, 13.5]","[24, 17.18, 5.93, 7.87, 14.69, 4.34, 4.98, 8.15]",0.4800000000000001,25.0,"[0.47, 0.74, 0.33, 1.1, 0.7, 0.14, 0.82]","[0, 0, 0.07, 0.23, 0, 0.03, 0.15]",5.157222944541863,0.27,"[0, 0, 7.68, 26.87, 0, 2.92, 17.78]","[0, 0, 0.04, 0.13, 0, 0.01, 0.09]","[0.47, 0.74, 0.45, 1.47, 0.7, 0.18, 1.15]",0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,7.6015,3.83,540.1408016681671,"['0', '5', '4', '1', '3', '2', '6', '7']","[0, 1, 1, 1, 0, 1, 0]","[0, 40, 40, 40, 0, 30, 0]","[14.56, 7.72, 24.27, 14.17, 9.59, 14.22, 15.89]","[0, 6.75, 31.5, 18.0, 0, 24.0, 0]","[24, 9.44, 8.47, 15.7, 19.53, 9.94, 19.72, 3.83]",0.89,13.0,"[1.14, 0.59, 1.82, 1.02, 0.72, 1.25, 1.05]","[0, 0.07, 0.35, 0.2, 0, 0.27, 0]",9.377149425562383,0.5,"[0, 9.95, 41.55, 23.87, 0, 29.89, 0]","[0, 0.05, 0.2, 0.11, 0, 0.14, 0]","[1.14, 0.84, 2.52, 1.41, 0.72, 1.7, 1.05]",0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,6.0348,4.91,1985.8796563148499,"['0', '4', '2', '5', '1', '6', '3', '7']","[1, 0, 0, 1, 1, 1, 0]","[40, 0, 0, 20, 40, 30, 0]","[1.41, 1.9, 16.26, 1.99, 25.3, 15.76, 15.63]","[2.25, 0, 0, 4.5, 29.25, 24.0, 0]","[24, 24, 22.1, 5.84, 8.35, 12.3, 20.54, 4.91]",0.68,46.0,"[0.12, 0.12, 1.29, 0.18, 1.74, 1.4, 1.17]","[0.03, 0, 0, 0.05, 0.33, 0.27, 0]",7.293557078207776,0.38,"[1.99, 0, 0, 5.32, 39.72, 30.52, 0]","[0.01, 0, 0, 0.03, 0.19, 0.15, 0]","[0.17, 0.12, 1.29, 0.23, 2.4, 1.92, 1.17]",0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,5.1012,4.23,3336.088146686554,"['0', '2', '1', '5', '4', '6', '3', '7']","[1, 1, 0, 1, 1, 1, 0]","[40, 40, 0, 40, 40, 40, 0]","[3.45, 9.81, 15.44, 7.49, 9.73, 13.44, 7.42]","[4.5, 11.25, 0, 6.75, 11.25, 15.75, 0]","[24, 24, 24, 8.56, 7.82, 9.34, 11.65, 4.23]",0.53,34.0,"[0.32, 0.81, 0.97, 0.58, 0.72, 1.14, 0.56]","[0.05, 0.12, 0, 0.07, 0.12, 0.17, 0]",6.536279754299754,0.31000000000000005,"[4.88, 13.87, 0, 9.85, 15.28, 21.31, 0]","[0.02, 0.07, 0, 0.05, 0.07, 0.1, 0]","[0.44, 1.14, 0.97, 0.81, 0.99, 1.61, 0.56]",0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,3.8339,4.8,4439.09593462944,"['0', '1', '3', '5', '4', '2', '6', '7']","[0, 1, 0, 1, 0, 1, 0]","[0, 30, 0, 20, 0, 20, 0]","[9.93, 6.95, 10.85, 7.91, 11.62, 2.83, 3.61]","[0, 12.0, 0, 18.0, 0, 4.5, 0]","[24, 14.07, 19.12, 8.27, 18.36, 6.74, 8.41, 4.8]",0.38,42.0,"[0.63, 0.54, 0.71, 0.72, 0.75, 0.25, 0.24]","[0, 0.13, 0, 0.2, 0, 0.05, 0]",4.278619837973244,0.2,"[0, 14.88, 0, 21.27, 0, 5.67, 0]","[0, 0.07, 0, 0.1, 0, 0.03, 0]","[0.63, 0.71, 0.71, 0.91, 0.75, 0.34, 0.24]",0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,3.2991,4.07,13998.70999622345,"['0', '3', '2', '6', '4', '1', '5', '7']","[0, 0, 1, 1, 1, 0, 0]","[0, 0, 40, 30, 20, 0, 0]","[9.51, 4.44, 3.67, 2.62, 7.63, 8.89, 8.67]","[0, 0, 4.5, 3.0, 18.0, 0, 0]","[24, 14.49, 10.05, 10.88, 11.26, 21.63, 12.74, 4.07]",0.28,32.0,"[0.65, 0.33, 0.31, 0.22, 0.67, 0.56, 0.55]","[0, 0, 0.05, 0.03, 0.2, 0, 0]",3.6787940762287894,0.15000000000000002,"[0, 0, 6.02, 4.08, 21.16, 0, 0]","[0, 0, 0.03, 0.02, 0.1, 0, 0]","[0.65, 0.33, 0.43, 0.32, 0.84, 0.56, 0.55]",0.0,0.0,0.0,0.0,0.0,0.0
